vinho,preço,comentário_do_sommelier,uva,país,região,classificação,vinícola,teor_alcoólico,temperatura_de_serviço,olfativo,visual,gustativo,harmonização
Pueblo del Sol Cabernet Sauvignon 2021,35.18,casta plantada mundo mostra características solo uruguaio exemplar jovem autenticidade cabernet sauvignon uruguai vinho fresco perfil típico casta taninos macios notas herbáceas,cabernet sauvignon,uruguai,canelones,seco,pueblo del sol,12.0,16.0,frutas vermelhas especiarias herbáceo,rubi,jovem frutado corpo leve médio boa acidez refrescante final agradável,vinho corpo leve médio aposte pratos mesma estrutura dicas iscas aceboladas espaguete sugo pizza calabresa empanadas cogumelos quibe vegetariano
Pueblo del Sol Tannat 2021,35.18,uva símbolo uruguai hoje responsável fazer parte maiores vinhos país tannat gera exemplares potentes taninos firmes frutados macios pueblo del sol tannat traz autenticidade uva solo uruguaio experiência esplêndida,tannat,uruguai,canelones,seco,pueblo del sol,12.0,16.0,frutas vermelhas frutas pretas cassis,rubi,vinho jovem frutado corpo médio boa estrutura taninos macios,churrasco costela bovina bafo picanha assada risoto carne seca pasta berinjela cogumelo gratinado hambúrguer lentilha
Altos Del Condor Chardonnay Chenin Blanc 2022,38.71,altos del condor linha entrada grupo peñaflor empresa vitivinícola líder argentina considerada principais produtores vinhos nível mundial vinho leve frutado mescla uvas brancas chardonnay chenin blanc apresente estilo jovem descomplicado refrescante fácil beber ótima pedida beber bem resfriado dias quentes pode apreciado sozinho combinado petiscos entradas pratos principais leves,chardonnay chenin blanc,argentina,mendoza,seco,grupo peñaflor,12.5,6.0,frutas tropicais abacaxi frutas cítricas lima,amarelo claro,vinho jovem leve frutado acidez média alta refrescante,opte pratos leves carnes brancas molhos cítricos base ervas frescas manteiga azeite queijos cremosos dicas iscas peixe empanado empadão frango catupiry legumes salteados manteiga
Faisán Merlot 2020,35.18,vinho frutado coringa leve fácil beber merlot uva deste exemplar descomplicado fresco frutado perfeito acompanhar momentos leves descontraídos aperitivo acompanhando pratos simples,merlot,uruguai,montevidéu,meio seco,familia traversa,12.5,16.0,frutas negras especiarias doces toque mineral,rubi profundo,vinho jovem corpo leve médio frutado taninos macios,opte pratos média estrutura carnes vermelhas magras assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos levemente picantes dicas abóbora carne seca pizza calabresa quibe abóbora especiarias
Altos Del Condor Malbec 2022,38.71,altos del condor malbec vinho jovem descomplicado intensamente frutado traz malbec uva emblemática argentina perfil descontraído mistérios tomada dia dia exemplar compõe bem noite pizzas variadas encontro extrovertido amigos enquanto assiste série,malbec,argentina,mendoza,seco,grupo peñaflor,12.5,16.0,frutas vermelhas pretas frescas toque floral ervas frescas,rubi intenso,vinho jovem corpo leve médio frutado taninos presentes boa acidez,opte pratos média estrutura carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate queijos dicas empanadas carne berinjela gratinada forno filé fritas
Etéreo Macabeo 2020,41.06,elaborado macabeo conhecida viura proveniente vinhas anos idade exemplar perfil jovem moderno consumido qualquer ocasião carrega rótulo libélula representam boa sorte,macabeo,espanha,valencia,meio seco,bodegas arráez,12.0,9.0,frutas cítricas maça verde nozes,amarelo pálido,suave refrescante final agradável,ceviche peixe branco anéis lula casquinha siri peixe frito acarajé salada folhas verdes pizza pesto tapas
Faisán Chardonnay Sauvignon Blanc 2020,35.18,vinho branco jovem equilibrado boa acidez vinho brindar praia piscina amigos,chardonnay sauvignon blanc,uruguai,montevidéu,seco,faixa azul,13.5,8.0,frutas cítricas tropicais,amarelo claro,fresco final persistente,peixes grelhados aves queijos
Finca Dorada Selección Especial Syrah 2021,38.71,finca dorada selección especial traz uva syrah protagonista desse exemplar vinho elaborado vale central chileno vinícola viñedos y frutales vyf top maiores vinícolas chilenas exportações primeiras vinícolas chilenas receber certificado vinícola sustentável vinhos chile tinto breve passagem barricas carvalho amaciar bebida agregar complexidade estilo fácil beber agradar rótulo descomplicado ótimo acompanhar momentos leves descontraídos receitas dia dia,syrah,chile,valle central,seco,vyf wines,12.5,16.0,frutas negras ameixa cereja especiarias baunilha toques madeira,rubi,corpo médio frutado nuances madeira especiarias equilibrado taninos maduros acidez agradável,aposte pratos médias estrutura carnes macias assadas defumadas molhos base tomate especiarias queijos semiduros dicas iscas carne aceboladas pizza calabresa macarrão sugo
Baron Philippe de Rothschild Cabernet Sauvignon 2021,41.06,elaborado renomada vinícola baron philippe rothschild rótulo traz rainha uvas tintas cabernet sauvignon vinho macio fácil beber agradar produzido uvas rigorosamente selecionadas valle central chileno confere maior complexidade aromas sabores exemplar perfil descomplicado excelente acompanhar noite filme pizza,cabernet sauvignon,chile,valle central,seco,baron philippe de rothschild,13.5,16.0,aromas frutas negras ameixa cereja especiarias toque herbáceo,rubi,corpo médio frutado toques especiarias herbáceo taninos finos suaves acidez média,opte pratos média estrutura carnes vermelhas assadas cozidas carnes brancas intensas molhos vermelhos toques especiarias queijos semiduros dicas lagarto recheado espaguete bolonhesa pizza calabresa lasanha berinjela abobrinha
Altos del Condor Tinto 2021,38.71,tinto estilo jovem frutado une uva emblemática argentina malbec tempranillo famosas variedades espanha macio fácil beber ideal acompanhar refeições dia dia momentos descontraídos bate papo amigos,malbec tempranillo,argentina,mendoza,seco,grupo peñaflor,12.5,15.0,frutas vermelhas frescas sutis notas especiarias violeta,rubi,vinho jovem corpo leve médio frutado taninos macios fresco,aposte pratos média estrutura molhos base tomate queijos semiduros dicas empanadas carne espaguete sugo arroz carreteiro iscas filé acebolado
Palafitos de Mar Semi Sweet Sauvignon Blanc 2022,41.06,palafitos mar alinha viña fray león pertencente grupo belén especialidade criação vinhos vão encontro necessidade consumidor almejado dia dia possuem vinhedos próprios diferentes vales chile além vinícola tecnologia ponta certificações sustentabilidade através políticas sustentáveis fim obter vinhos qualidade tempo cuidar meio ambiente nome vinho homenagem tradicionais casas palafitas localizadas ilha chiloé sul chile casas construídas sobre mar calmo caracterizadas pilares madeira cores vibrantes vinho branco estilo fácil beber agradar bem frutado refrescante ótimo aperitivo acompanhando pratos levemente apimentados,sauvignon blanc,chile,valle central,meio seco,viña fray leon,12.5,8.0,frutas tropicais abacaxi maracujá toque herbáceo floral,reflexos esverdeados,vinho jovem leve frutado equilibrado acidez vibrante agradável frescor,opte pratos leves carnes brancas molhos apimentados base ervas frescas azeite tomate queijos cremosos dicas iscas peixe frito abará moqueca
The Applicant Cabernet Sauvignon Merlot 2021,35.18,the applicant alinha viña fray león pertencente grupo belén especialidade criação vinhos vão encontro necessidade consumidor almejado dia dia possuem vinhedos próprios diferentes vales chile além vinícola tecnologia ponta certificações sustentabilidade através políticas sustentáveis fim obter vinhos qualidade tempo cuidar meio ambiente exemplar blend uvas cabernet sauvignon merlot encantadores aromas aveludado paladar ótimo acompanhar momentos leves descontraídos vinho descomplicado agradável,cabernet sauvignon merlot,chile,valle central,meio seco,viña fray leon,13.0,16.0,frutas pretas vermelhas bosque especiarias toque herbáceo chocolate,rubi profundo,vinho jovem corpo médio frutado taninos sedosos acidez média,opte pratos leve média estrutura carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos dicas iscas filé aceboladas sobrecoxa frango assada batatas alecrim nhoque sugo
Palafitos de Mar Semi Sweet Rosé 2022,41.06,palafitos mar alinha viña fray león pertencente grupo belén especialidade criação vinhos vão encontro necessidade consumidor almejado dia dia possuem vinhedos próprios diferentes vales chile além vinícola tecnologia ponta certificações sustentabilidade através políticas sustentáveis fim obter vinhos qualidade tempo cuidar meio ambiente nome vinho homenagem tradicionais casas palafitas localizadas ilha chiloé sul chile casas construídas sobre mar calmo caracterizadas pilares madeira cores vibrantes rosé leve frutado refrescante estilo fácil beber agradar harmonizar,syrah cabernet sauvignon,chile,valle central,meio seco,viña fray leon,13.0,8.0,frutas vermelhas framboesa amora toque herbáceo,rosa claro,vinho jovem corpo leve frutado equilibrado acidez média agradável frescor,opte pratos leves carnes brancas molhos apimentados base ervas frescas azeite tomate queijos cremosos dicas coxinha frango apimentada comida japonesa ceviche tilápia espetinho frango dadinho tapioca geleia pimenta
Altos Del Condor Chardonnay Chenin Blanc 2021,38.71,vinho leve frutado mescla uvas brancas chardonnay chenin blanc cultivadas terroir argentino vinho jovem boa textura intensidade aromática fácil beber pode apreciado sozinho combinado petiscos entradas pratos principais leves,chardonnay chenin blanc,argentina,mendoza,seco,grupo peñaflor,12.5,6.0,frutas brancas tropicais toque cítrico,amarelo pálido,jovem leve frutado boa acidez refrescante,vinho jovem leve refrescante harmonize pratos leves dica legumes grelhados iscas peixe empanado empadão frango catupiry espaguete molho branco bruschetta abobrinha
Altos Del Condor Rose 2021,38.71,vinho rosé coringa versatilidade vai bem diversas ocasiões várias opções harmonizações aperitivo acompanhando petiscos pratos elaborados exemplar elaborado argentina apresenta boa estrutura acidez frescor vinho frutado bastante refrescante ótimo acompanhar momentos leves descontraídos,uvas finas selecionadas,argentina,mendoza,seco,grupo peñaflor,12.5,9.0,frutas vermelhas frescas flores,rosa brilhante,jovem leve frutado boa acidez refrescante,opte pratos leves carnes brancas molhos base tomate azeite ervas frescas queijos cremosos dica ratatouille comida japonesa espaguete tomate seco mussarela búfala espetinho frango
Altos Del Condor Merlot 2021,38.71,merlot variedades tintas recente difusão argentina potencial prova exemplar elaborado variedade oriunda terroir argentino proporciona vinho bem equilibrado frutado fresco taninos suaves saboroso,merlot,argentina,mendoza,seco,grupo peñaflor,12.5,16.0,frutas vermelhas negras cereja ameixa sutis notas especiarias,vermelho reflexo violáceo,jovem frutado corpo leve médio macio taninos suaves fresco saboroso,vinho frutado corpo leve médio aposte pratos média estrutura dica caponata berinjela kafta macarrão bololhesa lombo porco recheado ameixa bacon
Altos Del Condor Cabernet Sauvignon Malbec 2021,38.71,tinto elaborado duas uvas potentes malbec cabernet sauvignon dão vida vinho jovem frutado intenso rótulo descomplicado porém presença,cabernet sauvignon malbec,argentina,mendoza,seco,grupo peñaflor,12.5,16.0,frutas vermelhas negras notas herbáceas sutis notas especiarias,rubi intenso,jovem frutado corpo médio intenso taninos marcantes equilibrado,empanadas carne espaguete sugo arroz carreteiro iscas filé acebolado quesadilla carne queijo pizza
Palafitos de Mar Semi Sweet Carmenére 2020,41.06,valle central caracterizado solos aluviais clima mediterrâneo chuvas moderadas colheita manual uvas sofrem maceração frio dias resultando tinto estruturado muitas notas frutadas,carmenere,chile,valle central,meio seco,fl wines,13.0,15.0,especiarias amora cassis,rubi profundo,taninos suaves redondos boa estrutura corpo,carnes vermelhas vegetais pimentão recheado massas pizza
Baron Philippe de Rothschild Carménère 2021,41.06,exemplar elaborado uvas rigorosamente selecionadas vale central chileno renomada vinícola baron philippe rothschild estilo versátil tinto pode degustado sozinho harmonizado pratos dia dia petiscos feito uva emblemática chile carménère rótulo expressa expertise família francesa rothschild maiores nomes mundo vinho produção vinhos autênticos agradáveis,carménère,chile,valle central,seco,baron philippe de rothschild,13.5,15.0,aromas frutas negras cerejas amoras toques especiarias herbáceo,rubi,vinho jovem corpo médio frutado herbáceo taninos macios acidez agradável,opte pratos média estrutura carnes magras molhos base tomate especiarias dicas pimentão recheado carne iscas filé frango legumes espaguete abobrinha sugo
Finca Dorada Selección Especial Cabernet Sauvignon 2021,38.71,finca dorada selección especial cabernet sauvignon vinho agrada facilidade ótimo consumido dia dia acompanhar receitas cotidianas compor happy hour amigos exemplar elaborado vale central chileno vinícola viñedos y frutales vyf top maiores vinícolas chilenas exportações primeiras vinícolas chilenas receber certificado vinícola sustentável vinhos chile vinho elaborado uvas colhidas limite maturação garantindo melhor qualidade mesmas resultando tinto taninos aromas surpreendentes,cabernet sauvignon,chile,valle central,seco,vyf wines,13.0,15.0,frutas vermelhas morango framboesa toques herbáceos,vermelho reflexos violáceos,vinho jovem corpo médio frutado nuances herbáceas taninos elegantes acidez equilibrada,opte pratos média estrutura carnes vermelhas magras molhos base tomate especiarias queijos semiduros dicas iscas filé acebolado lasanha bolonhesa batata recheada cogumelos queijo
Juan Cristóbal Malbec Rosé 2022,38.71,juan cristóbal linha entrada vinícola bodega don cristóbal produzido mendonza argentina exemplar elaborado uva emblemática argentina malbec vinificada rosé proporcionando vinho leve frutado saboroso vinhos rosés proporcionam versatilidade hora harmonização excelente escolha levar almoço família acompanhar petiscos degustado sozinho,malbec,argentina,mendoza,seco,bodega don cristóbal 1492,12.9,9.0,frutas vermelhas frescas flores,rosa brilhante,vinho jovem leve frutado refrescante,opte pratos leves carnes vermelhas magras carnes brancas molhos base queijos cremosos azeite manteiga frutas vermelhas dicas sanduíche pernil risoto tomate seco pastelzinho carne seca dadinho tapioca geleia frutas vermelhas
davideira,38.71,nome davideira faz alusão fruto sai videira uva portugal uvas crescem mil anos cultivo faz parte história país vinho homenagem uva elaborado castas típicas país,uvas nativas,portugal,não especificada,meio seco,parras wine,13.0,14.0,frutas vermelhas maduras,rubi,sabor intenso taninos elegantes final suave,picadinho vegetais estrogonofe carne almondegas torta cogumelos lagarto molho madeira
Finca Traversa Merlot 2021,38.71,merlot elaborado uruguai ótima opção acompanhar momento descompromissado vinho descomplicado leve macio paladar fresco grande versatilidade harmonização fácil beber agradar exemplar ótimo acompanhar petiscos noite pizzas,merlot,uruguai,montevidéu,meio seco,familia traversa,12.5,16.0,frutas pretas maduras ameixa toque floral sutil especiarias doces,rubi,vinho jovem corpo leve médio frutado delicado taninos macios acidez média,opte pratos estrutura leve média carnes vermelhas assadas cozidas carnes brancas intensas molhos apimentados base tomate especiarias queijos dicas pizza calabresa quibe frito carne lasanha abobrinha
San Cetteo Tosca,38.71,fama região vitivinícola abruzzo vem belíssima adaptação casta montepulciano terroir uva empresta peculiaridades san ceteo tosca origina vinhos cor profunda encorpados sabores delicados frutas negras exemplar revela toda tipicidade casta,montepulciano,itália,abruzzo,meio seco,ettore galasso,12.0,18.0,frutas vermelhas morango ameixa,rubi reflexos violáceos,equilibrado frutado suculento,ravióli carne macarrão almôndegas molho tomate polenta ragu carne berinjela parmegiana caponata
Ballade Cabernet Sauvignon Rosé 2022,38.71,ballade cabernet sauvignon rosé vinho leve frutado harmônico miolo vinícola brasileira reconhecida premiada internacionalmente sinônimo qualidade tradição pioneirismo plantio uvas finas brasil paixão vitivinicultura desejo levar mundo afora vinho fino brasileiro tornou miolo maior exportadora vinhos brasil reconhecida mercado internacional linha ballade produzida exclusivamente wine parceria sucesso bem avaliada encontra aqui vinho perfil descontraído jovem frutado refrescante descomplicado ótima escolha dia dia fácil agradar todos paladares adequado veganos,cabernet sauvignon,brasil,campanha gaúcha,seco,miolo,12.0,8.0,frutas vermelhas morango framboesa cereja,rosa claro,vinho jovem leve frutado equilibrado acidez média alta agradável frescor,opte pratos leves carnes brancas molhos base azeite ervas frescas manteiga queijos cremosos dicas espaguete camarão atum grelhado risoto palmito salada
Ballade Merlot 2022,38.71,ballade merlot vinho leve frutado harmônico miolo vinícola brasileira reconhecida premiada internacionalmente sinônimo qualidade tradição pioneirismo plantio uvas finas brasil paixão vitivinicultura desejo levar mundo afora vinho fino brasileiro tornou miolo maior exportadora vinhos brasil reconhecida mercado internacional linha ballade produzida exclusivamente wine parceria sucesso bem avaliada encontra aqui exemplar variedade merlot cultivada vinhedos próprios localizados região campanha central rio grande sul vinho perfil jovem descomplicado frutado equilibrado sabor aveludado corpo leve médio ótimo acompanhar pratos cotidianos adequado veganos,merlot,brasil,campanha gaúcha,seco,miolo,13.0,16.0,aromas frutas pretas cereja ameixa toques especiarias doces,rubi profundo,vinho jovem equilibrado corpo leve médio frutado taninos macios textura aveludada acidez média,opte pratos estrutura leve média carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos dicas empanadas carne filé frango parmegiana bife acebolado caponata berinjela uva passa
Ballade Riesling 2022,38.71,ballade riesling vinho leve frutado harmônico miolo vinícola brasileira reconhecida premiada internacionalmente sinônimo qualidade tradição pioneirismo plantio uvas finas brasil paixão vitivinicultura desejo levar mundo afora vinho fino brasileiro tornou miolo maior exportadora vinhos brasil reconhecida mercado internacional linha ballade produzida exclusivamente wine parceria sucesso bem avaliada encontra aqui vinho branco variedades riesling itálico renano cultivadas vinhedos próprios localizados região campanha central rio grande sul exemplar perfil jovem descontraído alegre descomplicado bebido todos dias elegante autêntico fino persistente refrescante adequado veganos,riesling,brasil,campanha gaúcha,seco,miolo,11.0,7.0,aromas cítricos lima limão pomelo,amarelo claro reflexos esverdeados,vinho jovem agradável leve frutado acidez média alta agradável frescor,opte pratos leves carnes brancas molhos cítricos base azeite ervas frescas queijos cremosos dicas camarão empanado peixe forno legumes arroz frutos mar bolinho bacalhau galeto recheado macarrão pesto
Ballade Cabernet Sauvignon 2022,38.71,ballade cabernet sauvignon vinho leve frutado harmônico miolo vinícola brasileira reconhecida premiada internacionalmente sinônimo qualidade tradição pioneirismo plantio uvas finas brasil paixão vitivinicultura desejo levar mundo afora vinho fino brasileiro tornou miolo maior exportadora vinhos brasil reconhecida mercado internacional linha ballade produzida exclusivamente wine parceria sucesso bem avaliada encontra aqui exemplar variedade cabernet sauvignon cultivada vinhedos próprios localizados região campanha central rio grande sul vinho perfil jovem descomplicado leve agradável adequado veganos,cabernet sauvignon,brasil,campanha gaúcha,seco,miolo,12.5,16.0,aroma frutas vermelhas sutis notas mentoladas,rubi médio,vinho jovem corpo leve médio frutado equilibrado taninos finos harmônicos agradável frescor,opte pratos estrutura leve média carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos dicas lasanha bolonhesa galeto assado espaguete sugo
Paine Cabernet Sauvignon 2021,38.71,essencialmente frutado leve vinho idealizado apreciado compromisso apreciando momento companhias acompanhando petiscos pratos refeições informais nome referência paine national park engloba florestas antigas montanhas glaciares lagos rios patagônia chilena vinho leve perfil fácil agradável,cabernet sauvignon,chile,valle central,seco,vyf wines,13.0,16.0,aromas frutas negras vermelhas herbáceo,rubi,vinho jovem leve frutado sutis notas herbáceas taninos macios acidez agradável,opte pratos leves carnes magras molhos base tomate especiarias queijos dicas iscas contrafilé aceboladas hambúrguer bacon espaguete sugo
Castellanovo Rosso,41.06,blend sangiovese outras uvas nativas trazem frescor maciez tinto descompromissado saboroso fácil paladar,sangiovese outras uvas nativas,itália,não especificada,meio seco,terre cevico,11.0,16.0,notas frutas vermelhas negras,rubi,elegante frutado macio,acompanha bem pratos triviais strogonoff carne quibe forno carnes assadas queijos duros embutidos
Frisante Botticello Lambrusco I.G.T. dellEmilia Bianco Amabile,49.9,exemplar frisante significa possui menos gás espumante elaborado itália uva lambrusco perfeito celebrar momentos cotidianos vinho leve frutado refrescante dulçor aparente ideal momentos leves descontraídos,lambrusco,itália,emiliaromagna,suave/doce,medici ermete wines,80.0,7.0,frutas brancas frescas,amarelo palha,leve frutado acidez sutil doçura discreta refrescante,vinho leve dulçor aparente harmoniza comidas apimentadas agridoces dicas peixe molho curry espetinho frango tempero indiano peixe frito quiche tomate seco alho poró tomates recheados torta limão
Frisante Botticello Lambrusco I.G.T. dellEmilia Rosso Amabile,38.71,ideal gosta vinhos paladar adocicado frisante tinto entrega leveza muita fruta elaborado itália exemplar combina bem receitas possuem toque agridoce picante,lambrusco,itália,emiliaromagna,suave/doce,medici ermete wines,80.0,7.0,frutas vermelhas frescas,rubi,leve frutado acidez agradável refrescante adocicado,dulçor desse vinho combina pratos apimentados agridoces dicas tacos picantes nachos burritos lombo agridoce rolinho primavera pizzas variadas
Finca Dorada Selección Especial Sauvignon Blanc 2021,38.71,ideal iniciantes mundo vinho branco leve refrescante traz uva sauvignon blanc feito principal região vitivinícola chilena valle central rótulo amadurece apenas tanques aço inox preservar características naturais uva,sauvignon blanc,chile,valle central,seco,vyf wines,13.0,10.0,frutas cítricas tropicais lima maracujá,,frutado leve boa acidez final agradável,salada molho cítrico espetinho camarão tomates recheados espaguete pesto risoto queijo ceviche
Espumante Baby Chandon Riche Demi-Sec 187 mL,38.71,espumante meio seco aromas doce laranja frutas secas uva passa figo damasco toque baunilha boca aveludado possui bom frescor excelente cremosidade ótima harmonia acidez doçura elaborado chandon brasil desde produz espumantes excelente qualidade região serra gaúcha,riesling itálico chardonnay pinot noir,brasil,serra gaúcha,meio seco,chandon brasil,11.6,8.0,doce laranja frutas secas uva passa figo damasco toque baunilha,amarelo reflexos esverdeados colarinho bem definido espuma abundante borbulhas finas numerosas,aveludado bom frescor excelente cremosidade aveludado ótima harmonia acidez doçura,ceviche picante camarão molho agridoce comida tailandesa torta maçã nhoque manteiga sálvia queijos fortes gorgonzola roquefort
Espumante Baby Chandon Réserve Brut 187 mL,38.71,chandon réserve brut frutado mostra notas florais delicado aroma pão fresco elegância garantida frescor perlage fina envolvem boca notas frutas cítricas secas chandon brasil evidencia finesse expressão espumantes nacionais elaborados método charmat aproveite versão baby possui 187ml desse famoso espumante brasileiro degustar presentear momentos especiais kits padrinhos,pinot noir riesling itálico chardonnay,brasil,serra gaúcha,brut,chandon brasil,12.0,8.0,frutas cítricas flores frutas secas pão fresco,reflexos dourados,fresco equilibrado frutas cítricas frutas secas boa persistência,ostras frescas saladas culinária japonesa fettuccine frutos mar peixe grelhado risoto camarão
